,Title,Author,My Rating,Number of Pages,Year Published,Original Publication Year,Date Added,recommended,isbn,categories,description,publisher
656,The Plant Messiah: Adventures in Search of the World's Rarest Species,Carlos Magdalena,3,262.0,2018.0,2018.0,2018-04-01,False,9780385543620,['Nature'],"Carlos Magdalena is a man on a mission: to save the world’s most endangered plants. In The Plant Messiah, Magdalena takes readers from the forests of Peru to deep within the Australian outback in search of the rare and the vulnerable. Back in the lab—at the Royal Botanic Gardens, Kew, home of the largest botanical collection in the world—we watch as he develops groundbreaking, left-field techniques for rescuing species from extinction, encouraging them to propagate and thrive once again. Passionate and absorbing, The Plant Messiah is a tribute to the diversity of life on our planet, and to the importance of preserving it.",Doubleday Books
657,Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin,3,368.0,2004.0,2004.0,2018-08-17,False,9781439130841,['Nature'],"Temple Grandin's Animals in Translation speaks in the clear voice of a woman who emerged from the other side of autism, bringing with her an extraordinary message about how animals think and feel. Temple's professional training as an animal scientist and her history as a person with autism have given her a perspective like that of no other expert in the field. Standing at the intersection of autism and animals, she offers unparalleled observations and groundbreaking ideas about both. Autistic people can often think the way animals think -- in fact, Grandin and co-author Catherine Johnson see autism as a kind of way station on the road from animals to humans -- putting autistic people in the perfect position to translate ""animal talk."" Temple is a faithful guide into their world, exploring animal pain, fear, aggression, love, friendship, communication, learning, and, yes, even animal genius. Not only are animals much smarter than anyone ever imagined, in some cases animals are out-and-out brilliant. The sweep of Animals in Translation is immense, merging an animal scientist's thirty years of study with her keen perceptions as a person with autism -- Temple sees what others cannot. Among its provocative ideas, the book: argues that language is not a requirement for consciousness -- and that animals do have consciousness applies the autism theory of ""hyper-specificity"" to animals, showing that animals and autistic people are so sensitive to detail that they ""can't see the forest for the trees"" -- a talent as well as a ""deficit"" explores the ""interpreter"" in the normal human brain that filters out detail, leaving people blind to much of the reality that surrounds them -- a reality animals and autistic people see, sometimes all too clearly explains how animals have ""superhuman"" skills: animals have animal genius compares animals to autistic savants, declaring that animals may in fact be autistic savants, with special forms of genius that normal people do not possess and sometimes cannot even see examines how humans and animals use their emotions to think, to decide, and even to predict the future reveals the remarkable abilities of handicapped people and animals maintains that the single worst thing you can do to an animal is to make it feel afraid Temple Grandin is like no other author on the subject of animals because of her training and because of her autism: understanding animals is in her blood and in her bones.",Scribner
658,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4,287.0,2009.0,2009.0,2018-03-12,False,9780307266309,['Social Science'],"McDougall reveals the secrets of the world's greatest distance runners--the Tarahumara Indians of Copper Canyon, Mexico--and how he trained for the challenge of a lifetime: a fifty-mile race through the heart of Tarahumara country pitting the tribe against an odd band of super-athletic Americans.",Knopf
659,Between the World and Me,Ta-Nehisi Coates,3,152.0,2015.0,2015.0,2018-01-03,False,9780812993547,['Biography & Autobiography'],"#1 NEW YORK TIMES BESTSELLER * LONGLISTED FOR THE NATIONAL BOOK AWARD * Hailed by Toni Morrison as ""required reading,"" a bold and personal literary exploration of America's racial history by ""the single best writer on the subject of race in the United States"" (The New York Observer) ""This is your country, this is your world, this is your body, and you must find some way to live within the all of it."" In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation's history and current crisis. Americans have built an empire on the idea of ""race,"" a falsehood that damages us all but falls most heavily on the bodies of black women and men--bodies exploited through slavery and segregation, and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden? Between the World and Me is Ta-Nehisi Coates's attempt to answer these questions in a letter to his adolescent son. Coates shares with his son--and readers--the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children's lives were taken as American plunder. Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, Between the World and Me clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward. Praise for Between the World and Me ""Powerful and passionate . . . profoundly moving . . . a searing meditation on what it means to be black in America today.""--Michiko Kakutani, The New York Times ""Brilliant . . . [Coates] is firing on all cylinders, and it is something to behold: a mature writer entirely consumed by a momentous subject and working at the extreme of his considerable powers at the very moment national events most conform to his vision.""--The Washington Post ""I've been wondering who might fill the intellectual void that plagued me after James Baldwin died. Clearly it is Ta-Nehisi Coates. The language of Between the World and Me, like Coates's journey, is visceral, eloquent, and beautifully redemptive. And its examination of the hazards and hopes of black male life is as profound as it is revelatory.""--Toni Morrison ""A brilliant thinker at the top of his powers, Coates has distilled four hundred years of history and his own anguish and wisdom into a prayer for his beloved son and an invocation to the conscience of his country. An instant classic and a gift to us all.""--Isabel Wilkerson, author of The Warmth of Other Suns ""I know that this book is addressed to the author's son, and by obvious analogy to all boys and young men of color as they pass, inexorably, into harm's way. I hope that I will be forgiven, then, for feeling that Coates was speaking to me, too, one father to another, teaching me that real courage is the courage to be vulnerable.""--Michael Chabon ""A work of rare beauty . . . a love letter written in a moral emergency, one that Coates exposes with the precision of an autopsy and the force of an exorcism.""--Slate",Spiegel & Grau
660,The Origins of Creativity,Edward O. Wilson,1,256.0,2017.0,2017.0,2018-08-06,False,9781631493195,['Science'],"“Brimming with ideas. . . . The Origins of Creativity approach[es] creativity scientifically but sensitively, feeling its roots without pulling them out.”—Economist In a stirring exploration of human nature recalling his foundational work Consilience, Edward O. Wilson offers a “luminous” (Kirkus Reviews) reflection on the humanities and their integral relationship to science. Both endeavors, Wilson argues, have their roots in human creativity—the defining trait of our species. By studying fields as diverse as paleontology, evolution, and neurobiology, Wilson demonstrates that creative expression began not 10,000 years ago, as we have long assumed, but more than 100,000 years ago in the Paleolithic Age. A provocative investigation into what it means to be human, The Origins of Creativity reveals how the humanities have played an unexamined role in defining our species. With the eloquence, optimism, and pioneering inquiry we have come to expect from our leading biologist, Wilson proposes a transformational “Third Enlightenment” in which the blending of science and humanities will enable a deeper understanding of our human condition, and how it ultimately originated.",Liveright
661,How I Killed Pluto and Why It Had It Coming,Mike Brown,1,267.0,2010.0,2010.0,2018-06-27,False,9780385531085,['Science'],"A dramatic account by the astronomer who inadvertently triggered the ""demotion"" of Pluto in his effort to officially recognize the solar system's 10th planet describes ensuing debates and public outcry while revealing the behind-the-scenes story of his discovery.",Spiegel & Grau
662,Medea,Euripides,1,59.0,1993.0,-431.0,2018-01-27,False,9780486275482,['Drama'],"One of the most powerful and enduring of Greek tragedies, Euripides' masterwork centers on the myth of Jason, leader of the Argonauts, who has won the dragon-guarded treasure of the Golden Fleece with the help of the sorceress Medea — whom he marries and eventually abandons. Authoritative Rex Warner translation.",Dover Publications
663,Lysistrata,Aristophanes,1,132.0,2003.0,-411.0,2018-02-14,False,9780872206038,['Literary Criticism'],"Aristophanes helped shape comedy.... despite their often fantasical premises, were fairly consistently concerned with contemporary politics and social institutions. ... mildly aristocratic... patriotic ... suspicious of social innovation.... sympathetic to the struggles of the common people.... unrestrained in insult...exuberantly bawdy.","Hackett Publishing Company, Inc."
664,Thoughts on Art and Life,Leonardo da Vinci,1,,,2009.0,2018-07-31,False,9788027237166,['Art'],"Musaicum Books presents to you this carefully created volume of ""Leonardo da Vinci: Thoughts on Art & Life"". This ebook has been designed and formatted to the highest digital standards and adjusted for readability on all devices. Content: Introduction I Thoughts on Life II Thoughts on Art III Thoughts on Science Bibliographical Note Leonardo da Vinci was an Italian Renaissance polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",
665,Art Theory: A Very Short Introduction,Cynthia A. Freeland,1,184.0,2007.0,2003.0,2018-07-17,False,9780192804631,['Art'],"Cynthia Freeland explains why innovation and controversy are valued in the arts, weaving together philosophy, art theory, and many engrossing examples. She discusses blood, beauty, culture, money, sex, web sites, and research on the brain's role in perceiving art. This clear, lively book will engage the public, introductory students, and teachers in the arts.","Oxford University Press, USA"
666,Station Life In New Zealand,Lady Barker,1,277.0,2000.0,1870.0,2018-07-21,False,,[],,Random House
667,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nathalia Holt,1,338.0,2016.0,2016.0,2018-02-10,False,9780316338929,['History'],"The riveting true story of the women who launched America into space. In the 1940s and 50s, when the newly minted Jet Propulsion Laboratory needed quick-thinking mathematicians to calculate velocities and plot trajectories, they didn't turn to male graduates. Rather, they recruited an elite group of young women who, with only pencil, paper, and mathematical prowess, transformed rocket design, helped bring about the first American satellites, and made the exploration of the solar system possible. For the first time, Rise of the Rocket Girls tells the stories of these women--known as ""human computers""--who broke the boundaries of both gender and science. Based on extensive research and interviews with all the living members of the team, Rise of the Rocket Girls offers a unique perspective on the role of women in science: both where we've been, and the far reaches of space to which we're heading.","Little, Brown and Company"
668,Meditations,Marcus Aurelius,2,303.0,2006.0,180.0,2018-02-20,False,9780140449334,['History'],AURELIUS/MEDITATIONS (BC),Penguin Books
669,How to Listen to Music: Hints and Suggestions to Untaught Lovers of the Art,Henry Edward Krehbiel,1,383.0,2005.0,1976.0,2018-02-17,False,,['Music'],,Adamant Media Corporation
670,Hippolytus,Euripides,1,108.0,2001.0,-428.0,2018-02-06,False,9780941051866,['Drama'],"English translation of Euripides' tragedy in which Phaedra unsuccessfully fights her desire for her stepson Hippolytus, while he risks his life to keep her passion secret. Introduction on Euripides and ancient theater; interpretive essay on the play; bibliography.","Bryn Mawr Commentaries, Inc."
671,West African Folk Tales,William Henry Barker,1,232.0,2002.0,1972.0,2018-02-17,False,9780343040765,['Juvenile Fiction'],,University Press of the Pacific
672,"Antigone (The Theban Plays, #3)",Sophocles,1,80.0,2005.0,-441.0,2018-02-14,False,9781580493888,['Drama'],"To make this quintessential Greek drama more accessible to the modern reader, this Prestwick House Literary Touchstone Edition? includes a glossary of difficult terms, a list of vocabulary words, and convenient sidebar notes. By providing these, it is our intention that readers will more fully enjoy the beauty, wisdom, and intent of the play.The curse placed on Oedipus lingers and haunts a younger generation in this new and brilliant translation of Sophocles? classic drama. The daughter of Oedipus and Jocasta, Antigone is an unconventional heroine who pits her beliefs against the King of Thebes in a bloody test of wills that leaves few unharmed. Emotions fly as she challenges the king for the right to bury her own brother. Determined but doomed, Antigone shows her inner strength throughout the play. Antigone raises issues of law and morality that are just as relevant today as they were more than two thousand years ago. Whether this is your first reading or your twentieth, Antigone will move you as few pieces of literature can.",Ingram
673,The Pope Who Would Be King: The Exile of Pius IX and the Emergence of Modern Europe,David I. Kertzer,1,512.0,2018.0,2018.0,2018-07-03,False,9780198827498,[],,Random House
674,The Fire Next Time,James Baldwin,1,106.0,1992.0,1963.0,2018-08-17,False,9780679744726,['Social Science'],"The powerful evocation of a childhood in Harlem that helped to galvanize the early days of the civil rights movement examines the deep consequences of racial injustice to both the individual and the body politic. Reissue. 20,000 first printing.",Vintage
675,Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,2,240.0,1987.0,1948.0,2018-04-20,False,9781629146348,['History'],"“Am going to cross Pacific on a wooden raft to support a theory that the South Sea islands were peopled from Peru. Will you come? …Reply at once.” That is how six brave and inquisitive men came to seek a dangerous path to test a scientific theory. On a primitive raft made of forty-foot balsa logs and named “Kon-Tiki” in honor of a legendary sun king, Heyerdahl and five companions deliberately risked their lives to show that the ancient Peruvians could have made the 4,300-mile voyage to the Polynesian islands on a similar craft. On every page of this true chronicle—from the actual building of the raft through all the dangerous and comic adventures on the sea, to the spectacular crash-landing and the native islanders’ hula dances—each reader will find a wholesome and spellbinding escape from the twenty-first century.",Washington Square Press
676,StoryCorps: Outloud,Ari Shapiro,2,2.0,2015.0,2015.0,2018-08-01,False,,[],,HighBridge Company
677,Feeling Good: The New Mood Therapy,David D. Burns,2,736.0,2008.0,1980.0,2018-08-05,False,9780380810338,['Self-Help'],"The good news is that anxiety, guilt, pessimism, procrastination, low self-esteem, and other ""black holes"" of depression can be cured without drugs. In Feeling Good, eminent psychiatrist, David D. Burns, M.D., outlines the remarkable, scientifically proven techniques that will immediately lift your spirits and help you develop a positive outlook on life. Now, in this updated edition, Dr. Burns adds an All-New Consumer′s Guide To Anti-depressant Drugs as well as a new introduction to help answer your questions about the many options available for treating depression. - Recognise what causes your mood swings - Nip negative feelings in the bud - Deal with guilt - Handle hostility and criticism - Overcome addiction to love and approval - Build self-esteem - Feel good everyday",Harper
678,Spectacles,Sue  Perkins,2,377.0,2015.0,2015.0,2018-06-20,False,9781405918541,['Comedians'],"Spectacles is the hilarious, creative and incredibly moving memoir from much loved comedian, writer and presenter Sue Perkins. When I began writing this book, I went home to see if my mum had kept some of my stuff. What I found was that she hadn't kept some of it. She had kept all of it - every bus ticket, postcard, school report - from the moment I was born to the moment I finally had the confidence to turn round and say 'Why is our house full of this shit?' Sadly, a recycling 'incident' destroyed the bulk of this archive. This has meant two things: firstly, Dear Reader, you will never get to see countless drawings of wizards, read a poem about corn on the cob, or marvel at the kilos of brown flowers I so lovingly pressed as a child. Secondly, it's left me with no choice but to actually write this thing myself. This, my first ever book, will answer questions such as 'Is Mary Berry real?', 'Is it true you wear a surgical truss?' and 'Is a non-spherically symmetric gravitational pull from outside the observable universe responsible for some of the observed motion of large objects such as galactic clusters in the universe?' Most of this book is true. I have, of course, amplified my more positive characteristics in an effort to make you like me. Thank you for reading. Praise for Spectacles 'Drama, tears and laughs - Spectacles has got it all. A brilliant, touching memoir suffused with love, it reminds you that life is best lived at wonky angles. I ADORED it' Jessie Burton, bestselling author of The Miniaturist 'Very funny . . . It seems there are two Sue Perkins: the TV one, who gabbles and pratfalls, and the sensitive one who aches. The first of course, exists to protect the second. They can both write. The first writes comedy, the second tragedy; in this sense, reading her memoir is very like meeting her' Sunday Times 'It's a proper book . . . so well written. Tight & bright & full of inspiration' Chris Evans, Radio 2",Michael Joseph
679,This Mortal Coil: The Human Body in History and Culture,Fay Bound Alberti,2,304.0,2016.0,2016.0,2018-05-23,False,9780191036552,['History'],"To many people the idea that 'the body' has its own history might sound faintly ridiculous. The body and its experiences are usually seen as something that we share with people from the past. Like 'human nature', it represents the unchanging in a changing world. Bodies just are... But the body does have a history. The way that it moves, feels, breathes, and engages with the world has been viewed very differently across times and cultures. For centuries, 'we' were believed to be composed of souls that were part of the body and inseparable from it. Now we exist in our heads, and our bodies have become the vessels for that uncertain and elusive thing we call our 'true selves'. The way we understand the material structure of the body has also changed radically over the centuries. From the bones to the skin, from the senses to the organs of sexual reproduction, every part of the body has an ever-changing history, dependent on time, culture, and place. This Mortal Coil is an exploration of that history. Peeling away our assumptions about the unchanging nature of the human body, Fay Bound Alberti takes it apart in order to put it back anew, telling the cultural history of our key organs and systems from the inside out, from blood to guts, brains to sex organs. The understanding of the 'modern body' she reveals in the process is far removed from the 'eternal' or timeless object of common assumption. In fact, she argues, its roots go back no further than the sixteenth century at the earliest - and it has only truly existed in its current form since the nineteenth century.","Oxford University Press, USA"
680,The King's Speech: How One Man Saved the British Monarchy,Mark Logue,2,242.0,2010.0,2010.0,2018-07-27,False,9780857381101,['Great Britain'],"One man saved the British Royal Family in the first decades of the 20th century - he wasn't a prime minister or an archbishop of Canterbury. He was an almost unknown, and self-taught, speech therapist named Lionel Logue, whom one newspaper in the 1930s famously dubbed 'The Quack who saved a King'. Logue wasn't a British aristocrat or even an Englishman - he was a commoner and an Australian to boot. Nevertheless it was the outgoing, amiable Logue who single-handedly turned the famously nervous, tongue-tied Duke of York into one of Britain's greatest kings after his brother, Edward VIII, abdicated in 1936 over his love of Mrs Simpson. This is the previously untold story of the remarkable relationship between Logue and the haunted future King George VI, written with Logue's grandson and drawing exclusively from his grandfather Lionel's diaries and archive. It throws an extraordinary light on the intimacy of the two men, and the vital role the King's wife, the late Queen Elizabeth, the Queen Mother, played in bringing them together to save her husband's reputation and reign. The King's Speech: How One Man Saved the British Monarchy is an astonishing insight into a private world. Logue's diaries also reveal, for the first time, the torment the future King suffered at the hands of his father George V because of his stammer. Never before has there been such a personal portrait of the British monarchy - at a time of its greatest crisis - seen through the eyes of an Australian commoner who was proud to serve, and save, his King.",Quercus
681,Of Thee I Sing: A Letter to My Daughters,Barack Obama,2,40.0,2010.0,2010.0,2018-02-06,False,9780375983290,['Juvenile Nonfiction'],"Former president Barack Obama delivers a tender, beautiful letter to his daughters in this picture book illustrated by the award-winning Loren Long (Otis) that's made to be treasured! In this tender, beautiful letter to his daughters, President Barack Obama has written a moving tribute to thirteen groundbreaking Americans and the ideals that have shaped our nation. From the artistry of Georgia O'Keeffe, to the courage of Jackie Robinson, to the patriotism of George Washington, President Obama sees the traits of these heroes within his own children, and within all of America’s children. Breathtaking, evocative illustrations by award-winning artist Loren Long at once capture the personalities and achievements of these great Americans and the innocence and promise of childhood. This beautiful book celebrates the characteristics that unite all Americans, from our nation’s founders to generations to come. It is about the potential within each of us to pursue our dreams and forge our own paths. It is a treasure to cherish with your family forever.",Knopf Books for Young Readers
682,The Alchemist,Paulo Coelho,2,197.0,1993.0,1988.0,2018-01-28,False,9780061122415,['Fiction'],"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.",HarperCollins
683,Salt: A World History,Mark Kurlansky,2,496.0,2002.0,2002.0,2018-04-20,False,9780307369796,['History'],"From the award-winning and bestselling author of Cod comes the dramatic, human story of a simple substance, an element almost as vital as water, that has created fortunes, provoked revolutions, directed economies and enlivened our recipes. Salt is common, easy to obtain and inexpensive. It is the stuff of kitchens and cooking. Yet trade routes were established, alliances built and empires secured – all for something that filled the oceans, bubbled up from springs, formed crusts in lake beds, and thickly veined a large part of the Earth’s rock fairly close to the surface. From pre-history until just a century ago – when the mysteries of salt were revealed by modern chemistry and geology – no one knew that salt was virtually everywhere. Accordingly, it was one of the most sought-after commodities in human history. Even today, salt is a major industry. Canada, Kurlansky tells us, is the world’s sixth largest salt producer, with salt works in Ontario playing a major role in satisfying the Americans’ insatiable demand. As he did in his highly acclaimed Cod, Mark Kurlansky once again illuminates the big picture by focusing on one seemingly modest detail. In the process, the world is revealed as never before. From the Hardcover edition.",Vintage
684,The World in a Book: Al-Nuwayri and the Islamic Encyclopedic Tradition,Elias Muhanna,2,232.0,2017.0,,2018-04-07,False,9780691175560,"['Encyclopedias and dictionaries, Arabic']","Based on the author's dissertation (doctoral)-- Harvard University, 2012.",Princeton University Press
685,A Crack in Creation: Gene Editing and the Unthinkable Power to Control Evolution,Jennifer A. Doudna,3,304.0,2017.0,2017.0,2018-02-24,False,9780544716940,['MEDICAL'],"Two Berkeley scientists explore the potential of a revolutionary genetics technology capable of easily and affordably manipulating DNA in human embryos to prevent specific diseases, addressing key concerns about related ethical and societal repercussions.",Houghton Mifflin Harcourt
686,Grit,Angela Duckworth,3,277.0,2016.0,2016.0,2018-05-15,False,9781443442312,['Psychology'],"p>In this must-read book for anyone striving to succeed, pioneering psychologist Angela Duckworth shows parents, educators, athletes, students, and business people-both seasoned and new-that the secret to outstanding achievement is not talent but a focused persistence called “grit.” Why do some people succeed and others fail? Sharing new insights from her landmark research on grit, MacArthur “genius” Angela Duckworth explains why talent is hardly a guarantor of success. Rather, other factors can be even more crucial such as identifying our passions and following through on our commitments. Drawing on her own powerful story as the daughter of a scientist who frequently bemoaned her lack of smarts, Duckworth describes her winding path through teaching, business consulting, and neuroscience, which led to the hypothesis that what really drives success is not “genius” but a special blend of passion and long-term perseverance. As a professor at the University of Pennsylvania, Duckworth created her own “character lab” and set out to test her theory. Here, she takes readers into the field to visit teachers working in some of the toughest schools, cadets struggling through their first days at West Point, and young finalists in the National Spelling Bee. She also mines fascinating insights from history and shows what can be gleaned from modern experiments in peak performance. Finally, she shares what she’s learned from interviewing dozens of high achievers-from JP Morgan CEO Jamie Dimon to the cartoon editor of The New Yorker to Seattle Seahawks Coach Pete Carroll. Winningly personal, insightful, and even life-changing, Grit is a book about what goes through your head when you fall down, and how that-not talent or luck-makes all the difference.",HarperCollins
687,Ginkgo: The Tree That Time Forgot,Peter Crane,4,408.0,2013.0,2013.0,2018-04-20,False,9780300187519,['Nature'],"Presents the life story of a ginkgo tree, from its origin and proliferation to its decline and resurgence, highlighting the tree's cultural and social significance, medicinal uses, and role as a source of religious and artistic inspiration.",Yale University Press
688,"Narrative of the Life of Frederick Douglass: An American Slave, Written by Himself",Frederick Douglass,3,188.0,2002.0,1845.0,2018-02-17,False,9780312257378,['History'],"This is a book that should be on the reading list of every course on American history or literature...with its excellent notes, bibliography and appendices, this supersedes other versions available in paperback.' Adam Lively, Times Educational Supplement This new edition of the Narrative of the Life of Frederick Douglass is the first prepared especially for American history courses. David W. Blight's extensive introduction and the related materials he provides place the Narrative in both its historical and literary contexts. The book also includes a chronology of Douglass's life, a bibliography, questions for consideration, illustrations, and an index. 'David Blight's introduction to the Narrative provides a rich path into Frederick Douglass's own wonderful story'. William S. McFeely, author of Frederick Douglass.",Bedford Books
689,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3,375.0,2006.0,2006.0,2018-05-13,False,9780307237699,['Political Science'],"The junior senator from Illinois discusses how to transform U.S. politics, calling for a return to America's original ideals and revealing how they can address such issues as globalization and the function of religion in public life.",Crown
690,"Lessons From Lucy: The Simple Joys of an Old, Happy Dog",Dave Barry,2,240.0,2019.0,2018.0,2018-07-21,False,9781501161155,['Humor'],"Pulitzer Prize-winning columnist and bestselling author of Dave Barry Turns 40 now shows how to age gracefully, taking cues from his beloved and highly intelligent dog, Lucy. Faced with the obstacles and challenges of life after middle age, Dave Barry turns to his best dog, Lucy, to learn how to live his best life. From “Make New Friends” (an unfortunate fail when he can’t overcome his dislike for mankind) to “Don’t Stop Having Fun” (validating his longtime membership in a marching unit that performs in parades—and even Obama’s inauguration), Dave navigates his later years with good humor and grace. Lucy teaches Dave how to live in the present, how to let go of daily grievances, and how to feel good in your own skin. The lessons are drawn from Dave’s routine humiliations and stream-of-consciousness accounts of the absurdities of daily life, which will leave you heaving with laughter and recognition. Laugh-out-loud hilarious, whether he’s trying to “Pay Attention to the People You Love” (even when your brain is not listening) or deciding to “Let Go of Your Anger,” Dave Barry’s Lessons From Lucy is a witty and wise guide to joyous living.",Simon & Schuster
694,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,3,368.0,2016.0,2016.0,2018-08-22,False,9780062368621,['Science'],"Joining the ranks of popular science classics like The Botany of Desire and The Selfish Gene, a groundbreaking, wondrously informative, and vastly entertaining examination of the most significant revolution in biology since Darwin—a “microbe’s-eye view” of the world that reveals a marvelous, radically reconceived picture of life on earth. Every animal, whether human, squid, or wasp, is home to millions of bacteria and other microbes. Ed Yong, whose humor is as evident as his erudition, prompts us to look at ourselves and our animal companions in a new light—less as individuals and more as the interconnected, interdependent multitudes we assuredly are. The microbes in our bodies are part of our immune systems and protect us from disease. In the deep oceans, mysterious creatures without mouths or guts depend on microbes for all their energy. Bacteria provide squid with invisibility cloaks, help beetles to bring down forests, and allow worms to cause diseases that afflict millions of people. Many people think of microbes as germs to be eradicated, but those that live with us—the microbiome—build our bodies, protect our health, shape our identities, and grant us incredible abilities. In this astonishing book, Ed Yong takes us on a grand tour through our microbial partners, and introduces us to the scientists on the front lines of discovery. It will change both our view of nature and our sense of where we belong in it.",Ecco
696,Recovery: Freedom from Our Addictions,Russell Brand,1,288.0,2017.0,2017.0,2018-04-07,False,9781250141934,['Biography & Autobiography'],"A guide to all kinds of addiction from a star who has struggled with heroin, alcohol, sex, fame, food and eBay, that will help addicts and their loved ones make the first steps into recovery “This manual for self-realization comes not from a mountain but from the mud...My qualification is not that I am better than you but I am worse.” —Russell Brand With a rare mix of honesty, humor, and compassion, comedian and movie star Russell Brand mines his own wild story and shares the advice and wisdom he has gained through his fourteen years of recovery. Brand speaks to those suffering along the full spectrum of addiction—from drugs, alcohol, caffeine, and sugar addictions to addictions to work, stress, bad relationships, digital media, and fame. Brand understands that addiction can take many shapes and sizes and how the process of staying clean, sane, and unhooked is a daily activity. He believes that the question is not “Why are you addicted?” but ""What pain is your addiction masking? Why are you running—into the wrong job, the wrong life, the wrong person’s arms?"" Russell has been in all the twelve-step fellowships going, he’s started his own men’s group, he’s a therapy regular and a practiced yogi—and while he’s worked on this material as part of his comedy and previous bestsellers, he’s never before shared the tools that really took him out of it, that keep him clean and clear. Here he provides not only a recovery plan, but an attempt to make sense of the ailing world.",Henry Holt & Company
697,A Slip of the Keyboard: Collected Non-Fiction,Terry Pratchett,1,315.0,2014.0,2014.0,2018-06-10,False,9780857521224,['English essays'],"With a foreword by Neil Gaiman Terry Pratchett has earned a place in the hearts of readers the world over with his bestselling Discworld series - but in recent years he has become equally well-known and respected as an outspoken campaigner for causes including Alzheimer's research and animal rights. A Slip of the Keyboard brings together for the first time the finest examples of Pratchett's non fiction writing, both serious and surreal: from musings on mushrooms to what it means to be a writer (and why banana daiquiris are so important); from memories of Granny Pratchett to speculation about Gandalf's love life, and passionate defences of the causes dear to him. With all the humour and humanity that have made his novels so enduringly popular, this collection brings Pratchett out from behind the scenes of the Discworld to speak for himself - man and boy, bibliophile and computer geek, champion of hats, orang-utans and Dignity in Dying.",Doubleday
698,Is It Just Me?,Miranda Hart,1,323.0,2012.0,2012.0,2018-06-21,False,9781444776270,['Humor'],"IS IT JUST ME? Free first chapter download. Yes for FREE and gratis. Don't say we don't treat you well. Well hello to you dear browser. Now I have your attention it would be rude if I didn't tell you a little about my literary feast. So, here is the thing: is it just me or does anyone else find that adulthood offers no refuge from the unexpected horrors, peculiar lack of physical coordination and sometimes unexplained nudity, that accompanied childhood and adolescence? Does everybody struggle with the hazards that accompany, say, sitting elegantly on a bar stool; using chopsticks; pretending to understand the bank crisis; pedicures - surely it's plain wrong for a stranger to fondle your feet? Or is it just me? I am proud to say I have a wealth of awkward experiences - from school days to life as an office temp - and here I offer my 18-year-old self (and I hope you too dear reader) some much needed caution and guidance on how to navigate life's rocky path. Because frankly where is the manual? The much needed manual to life. Well, fret not, for this is my attempt at one and let's call it, because it's fun, a Miran-ual. I thank you.",Hodder & Stoughton
699,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,3,288.0,2018.0,2017.0,2018-06-02,False,9780393248975,['Science'],"“[Czerski’s] quest to enhance humanity’s everyday scientific literacy is timely and imperative.”—Science Storm in a Teacup is Helen Czerski’s lively, entertaining, and richly informed introduction to the world of physics. Czerski provides the tools to alter the way we see everything around us by linking ordinary objects and occurrences, like popcorn popping, coffee stains, and fridge magnets, to big ideas like climate change, the energy crisis, or innovative medical testing. She provides answers to vexing questions: How do ducks keep their feet warm when walking on ice? Why does it take so long for ketchup to come out of a bottle? Why does milk, when added to tea, look like billowing storm clouds? In an engaging voice at once warm and witty, Czerski shares her stunning breadth of knowledge to lift the veil of familiarity from the ordinary.",W. W. Norton  Company
